data_hora,temperatura,sensacao_termica,umidade,chuva_mm,prob_chuva,nuvens,vento_kmh,vento_direcao,pressao,indice_uv
2026-09-22 04:00:00,20.6,20.0,72,0.0,29,97,16.4,301,1011.9,0.0
2026-09-22 05:00:00,19.3,19.6,82,0.1,38,97,12.0,314,1012.0,0.0
2026-09-22 06:00:00,19.6,19.9,79,0.0,45,100,11.4,333,1012.1,0.0
2026-09-22 07:00:00,20.0,20.2,78,0.0,48,100,12.1,335,1012.6,0.2
2026-09-22 08:00:00,20.6,20.9,76,0.0,49,98,12.4,321,1013.8,1.65
2026-09-22 09:00:00,22.2,23.4,73,0.0,53,67,8.3,316,1014.5,3.85
2026-09-22 10:00:00,24.3,25.4,64,0.0,62,100,9.4,310,1014.0,5.65
2026-09-22 11:00:00,24.1,24.4,62,0.0,74,98,12.6,307,1013.4,0.8
2026-09-22 12:00:00,25.3,25.6,58,0.0,84,98,13.4,311,1012.7,5.75
2026-09-22 13:00:00,24.1,24.7,63,1.8,91,99,14.7,299,1012.7,0.35
2026-09-22 14:00:00,23.9,24.7,63,0.2,95,98,9.6,313,1011.6,1.55
2026-09-22 15:00:00,23.3,24.4,68,0.4,98,98,9.3,298,1011.7,2.35
2026-09-22 16:00:00,22.1,24.3,78,0.4,98,99,4.9,306,1011.8,0.3
2026-09-22 17:00:00,19.2,21.4,88,0.7,97,100,2.7,323,1012.7,0.25
2026-09-22 18:00:00,18.7,21.0,94,2.3,96,100,2.7,28,1013.7,0.25
2026-09-22 19:00:00,18.6,20.8,96,2.1,97,100,4.3,112,1014.0,0.0
2026-09-22 20:00:00,17.5,18.0,98,2.9,98,100,14.4,157,1015.1,0.0
2026-09-22 21:00:00,16.9,18.0,98,3.9,98,100,8.1,184,1016.0,0.0
2026-09-22 22:00:00,16.7,17.6,97,2.2,97,100,8.6,179,1016.8,0.0
2026-09-22 23:00:00,16.5,17.0,96,2.8,94,100,10.0,166,1016.6,0.0
2026-09-23 00:00:00,15.8,15.8,96,1.3,92,100,12.0,171,1016.9,0.0
2026-09-23 01:00:00,15.4,15.2,96,2.5,91,100,11.8,155,1016.7,0.0
2026-09-23 02:00:00,14.9,14.7,96,2.0,89,100,11.0,146,1016.1,0.0
2026-09-23 03:00:00,14.7,14.5,96,0.5,84,100,10.0,142,1015.3,0.0
2026-09-23 04:00:00,14.5,14.1,95,0.3,70,100,10.7,135,1014.9,0.0
2026-09-23 05:00:00,13.7,13.1,94,0.2,53,100,10.2,144,1015.6,0.0
2026-09-23 06:00:00,13.5,13.0,94,0.4,41,100,8.4,146,1016.5,0.0
2026-09-23 07:00:00,13.4,12.7,95,0.7,41,100,10.3,131,1017.0,0.0
2026-09-23 08:00:00,13.9,13.0,95,2.0,46,100,12.3,145,1017.6,0.05
2026-09-23 09:00:00,14.2,13.5,93,1.1,49,100,11.3,146,1017.9,0.65
2026-09-23 10:00:00,14.9,14.1,90,1.5,46,100,12.7,136,1017.9,0.5
2026-09-23 11:00:00,15.9,14.7,84,1.5,41,100,14.6,128,1017.2,0.5
2026-09-23 12:00:00,15.7,14.9,85,1.2,37,100,12.0,141,1017.0,0.55
2026-09-23 13:00:00,16.5,15.6,81,0.8,36,100,12.4,137,1016.1,1.1
2026-09-23 14:00:00,16.1,15.2,82,0.3,35,100,12.7,140,1015.3,0.65
2026-09-23 15:00:00,15.6,14.5,83,0.5,33,100,13.0,138,1015.2,0.75
2026-09-23 16:00:00,15.0,13.7,84,0.4,28,100,13.6,133,1015.7,0.5
2026-09-23 17:00:00,13.8,12.4,88,0.1,21,100,13.3,139,1016.6,0.2
2026-09-23 18:00:00,13.4,12.2,90,0.0,16,100,11.8,137,1017.6,0.05
2026-09-23 19:00:00,13.3,12.3,92,0.0,13,100,10.7,131,1018.3,0.0
2026-09-23 20:00:00,13.3,12.3,93,0.1,12,100,11.2,128,1018.5,0.0
2026-09-23 21:00:00,13.3,12.7,93,0.1,10,99,9.0,123,1018.5,0.0
2026-09-23 22:00:00,13.2,12.5,92,0.0,7,100,8.5,111,1018.7,0.0
2026-09-23 23:00:00,13.0,12.1,93,0.0,5,100,10.5,117,1018.2,0.0
2026-09-24 00:00:00,13.0,12.3,94,0.0,4,100,9.2,121,1017.6,0.0
2026-09-24 01:00:00,13.1,12.5,95,0.0,7,100,8.5,115,1016.9,0.0
2026-09-24 02:00:00,12.9,12.5,96,0.0,12,100,7.5,130,1016.7,0.0
2026-09-24 03:00:00,12.9,12.6,97,0.0,18,100,7.3,128,1016.3,0.0
2026-09-24 04:00:00,13.0,12.9,97,0.0,27,100,6.1,130,1016.4,0.0
2026-09-24 05:00:00,13.3,13.1,96,0.1,37,100,6.8,140,1016.8,0.0
2026-09-24 06:00:00,13.5,13.4,96,0.4,45,100,6.5,136,1017.5,0.0
2026-09-24 07:00:00,13.7,13.6,95,0.3,48,100,7.4,129,1018.1,0.05
2026-09-24 08:00:00,14.3,13.8,92,0.1,49,100,9.8,120,1018.7,0.15
2026-09-24 09:00:00,15.0,14.5,88,0.0,47,100,10.1,117,1019.1,0.35
2026-09-24 10:00:00,15.6,15.2,86,0.1,41,100,9.6,116,1018.9,0.65
2026-09-24 11:00:00,16.4,16.1,82,0.1,33,100,9.5,119,1018.3,0.85
2026-09-24 12:00:00,17.2,16.9,79,0.2,25,100,9.2,111,1017.5,1.0
2026-09-24 13:00:00,17.9,17.6,76,0.1,20,100,9.6,116,1016.3,1.05
2026-09-24 14:00:00,18.2,17.8,76,0.1,16,100,11.1,130,1015.4,0.8
2026-09-24 15:00:00,17.8,17.3,78,0.0,12,100,11.8,141,1014.8,0.75
2026-09-24 16:00:00,17.2,16.9,83,0.0,8,100,11.1,146,1014.8,0.4
2026-09-24 17:00:00,16.2,15.9,87,0.0,5,98,11.0,142,1015.2,0.3
2026-09-24 18:00:00,15.5,15.6,90,0.0,2,100,8.0,132,1016.0,0.1
2026-09-24 19:00:00,15.2,15.4,93,0.0,1,100,7.1,126,1016.7,0.0
2026-09-24 20:00:00,15.0,15.3,95,0.0,0,100,7.0,122,1017.5,0.0
2026-09-24 21:00:00,15.1,15.6,95,0.0,0,100,6.1,120,1018.1,0.0
2026-09-24 22:00:00,15.0,15.6,96,0.0,0,100,5.8,126,1018.1,0.0
2026-09-24 23:00:00,15.1,15.4,96,0.0,0,100,7.5,120,1017.9,0.0
2026-09-25 00:00:00,15.1,15.5,95,0.0,0,100,6.8,115,1017.6,0.0
2026-09-25 01:00:00,15.1,15.7,96,0.0,1,100,5.6,105,1016.9,0.0
2026-09-25 02:00:00,15.2,15.7,96,0.0,3,100,6.5,103,1016.3,0.0
2026-09-25 03:00:00,15.3,15.7,95,0.0,4,95,6.7,110,1015.9,0.0
2026-09-25 04:00:00,15.3,15.6,94,0.0,5,99,7.3,101,1015.7,0.0
2026-09-25 05:00:00,15.0,15.2,94,0.0,6,100,7.6,93,1015.9,0.0
2026-09-25 06:00:00,14.9,15.1,95,0.0,6,100,7.2,87,1016.5,0.0
2026-09-25 07:00:00,15.1,15.3,95,0.0,3,100,7.9,89,1017.2,0.1
2026-09-25 08:00:00,15.9,16.1,91,0.0,0,100,7.7,93,1017.9,0.7
2026-09-25 09:00:00,17.0,17.7,87,0.0,2,100,5.8,99,1018.1,1.65
2026-09-25 10:00:00,18.4,19.4,82,0.0,13,100,5.0,109,1017.7,2.3
2026-09-25 11:00:00,20.1,21.7,77,0.0,30,100,4.1,124,1017.0,4.6
2026-09-25 12:00:00,21.4,24.0,72,0.0,43,95,3.3,144,1016.1,7.4
2026-09-25 13:00:00,22.4,25.6,69,0.2,51,77,2.3,180,1015.1,7.7
2026-09-25 14:00:00,23.1,25.9,66,0.2,56,52,2.5,225,1014.0,5.4
2026-09-25 15:00:00,23.0,25.0,66,0.2,55,34,3.2,232,1013.4,3.3
2026-09-25 16:00:00,21.9,23.4,71,0.1,46,29,4.2,187,1013.7,1.7
2026-09-25 17:00:00,20.0,21.1,80,0.1,32,30,7.5,159,1014.5,0.85
2026-09-25 18:00:00,18.5,19.2,88,0.1,20,32,9.8,149,1015.3,0.3
2026-09-25 19:00:00,17.6,18.4,92,0.0,11,31,9.0,143,1016.1,0.0
2026-09-25 20:00:00,17.0,18.0,93,0.0,5,32,6.6,133,1017.0,0.0
2026-09-25 21:00:00,16.6,17.8,94,0.0,0,38,4.7,118,1017.6,0.0
2026-09-25 22:00:00,16.3,17.6,96,0.0,0,57,3.5,102,1017.9,0.0
2026-09-25 23:00:00,16.1,17.6,97,0.0,0,82,2.7,86,1017.9,0.0
2026-09-26 00:00:00,16.0,17.4,97,0.0,0,100,2.5,69,1017.8,0.0
2026-09-26 01:00:00,15.8,17.2,97,0.0,0,100,3.1,66,1017.4,0.0
2026-09-26 02:00:00,15.7,16.9,98,0.0,0,100,4.2,72,1016.9,0.0
2026-09-26 03:00:00,15.5,16.6,98,0.0,0,100,4.8,75,1016.6,0.0
2026-09-26 04:00:00,15.3,16.3,99,0.0,0,100,5.2,76,1016.8,0.0
2026-09-26 05:00:00,15.1,16.0,100,0.0,0,100,5.2,74,1017.2,0.0
2026-09-26 06:00:00,15.3,16.3,98,0.0,0,100,4.8,75,1017.7,0.0
2026-09-26 07:00:00,16.0,17.1,95,0.0,0,88,3.6,72,1018.4,0.45
2026-09-26 08:00:00,17.0,18.5,89,0.0,0,70,1.7,72,1019.3,2.0
2026-09-26 09:00:00,18.3,20.0,82,0.0,0,52,0.3,135,1019.7,4.05
2026-09-26 10:00:00,20.1,22.5,74,0.0,0,33,1.7,198,1019.4,6.05
2026-09-26 11:00:00,22.2,25.6,65,0.0,0,14,3.5,192,1018.8,7.6
2026-09-26 12:00:00,24.0,27.6,56,0.0,0,0,4.8,191,1018.0,8.4
2026-09-26 13:00:00,25.4,28.1,45,0.0,0,0,5.0,193,1017.1,8.4
2026-09-26 14:00:00,26.5,27.9,34,0.0,0,0,4.7,196,1016.1,7.5
2026-09-26 15:00:00,26.9,26.9,30,0.0,0,0,4.6,193,1015.5,5.95
2026-09-26 16:00:00,26.4,25.4,34,0.0,0,0,5.6,186,1015.4,3.8
2026-09-26 17:00:00,25.4,25.0,44,0.0,0,0,7.0,179,1015.6,2.1
2026-09-26 18:00:00,24.0,24.4,56,0.0,0,0,7.6,172,1016.0,0.55
2026-09-26 19:00:00,22.4,23.3,65,0.0,0,0,6.9,160,1016.9,0.0
2026-09-26 20:00:00,20.5,21.7,75,0.0,0,0,5.8,141,1018.0,0.0
2026-09-26 21:00:00,18.9,20.2,84,0.0,0,0,5.6,123,1018.8,0.0
2026-09-26 22:00:00,17.8,18.9,88,0.0,0,0,5.7,118,1019.2,0.0
2026-09-26 23:00:00,17.0,17.8,88,0.0,0,0,5.8,120,1019.3,0.0
2026-09-27 00:00:00,16.2,16.7,88,0.0,0,0,6.1,124,1019.2,0.0
2026-09-27 01:00:00,15.6,15.7,88,0.0,0,0,7.0,130,1018.8,0.0
2026-09-27 02:00:00,15.0,14.7,88,0.0,0,0,8.3,134,1018.2,0.0
2026-09-27 03:00:00,14.5,14.0,88,0.0,0,0,8.8,136,1017.9,0.0
2026-09-27 04:00:00,13.7,13.1,90,0.0,0,0,7.9,131,1018.2,0.0
2026-09-27 05:00:00,12.9,12.5,92,0.0,0,0,6.3,121,1018.8,0.0
2026-09-27 06:00:00,13.1,12.7,90,0.0,0,0,5.4,111,1019.3,0.0
2026-09-27 07:00:00,14.7,14.2,81,0.0,0,0,6.6,131,1019.8,0.7
2026-09-27 08:00:00,17.3,16.8,70,0.0,0,1,6.7,126,1020.3,2.4
2026-09-27 09:00:00,19.7,19.3,61,0.0,0,1,6.8,125,1020.4,4.25
2026-09-27 10:00:00,21.9,22.5,52,0.0,0,1,7.6,128,1020.0,6.2
2026-09-27 11:00:00,24.0,25.1,44,0.0,0,0,8.8,134,1019.2,7.45
2026-09-27 12:00:00,25.5,26.8,41,0.0,0,0,9.8,140,1018.5,8.1
2026-09-27 13:00:00,26.0,27.5,43,0.0,0,0,10.7,149,1017.8,8.65
2026-09-27 14:00:00,25.9,27.6,50,0.0,0,0,11.2,156,1017.2,7.55
2026-09-27 15:00:00,25.7,27.2,55,0.0,0,0,11.4,161,1016.7,5.7
2026-09-27 16:00:00,23.1,23.3,63,0.0,0,17,11.8,152,1018.1,3.45
2026-09-27 17:00:00,22.1,22.4,67,0.0,0,34,11.6,145,1018.6,1.9
2026-09-27 18:00:00,20.8,21.0,73,0.0,0,53,11.5,136,1019.3,0.5
2026-09-27 19:00:00,19.4,19.6,79,0.0,0,72,11.4,127,1020.0,0.0
2026-09-27 20:00:00,18.1,18.3,85,0.0,0,89,11.5,119,1020.6,0.0
2026-09-27 21:00:00,17.2,17.4,89,0.0,0,100,11.5,113,1020.9,0.0
2026-09-27 22:00:00,16.7,16.8,92,0.0,0,100,11.3,110,1020.8,0.0
2026-09-27 23:00:00,16.3,16.5,94,0.0,0,100,10.7,107,1020.4,0.0
